Genus - Family
Pasteurella - Pasteurellaceae
Dermabacter - Dermabacteraceae
Propionibacteriaceae.2 - Propionibacteriaceae
Ruminococcus - Ruminococcaceae
Segniliparus - Segniliparaceae
Balneimonas - Balneimonas
Xylanibacter - Ruminococcaceae
Ralstonia - Burkholderiaceae
Microbacterium - Microbacteriaceae
Proteobacteria.6 - Proteobacteria
Clostridiales.6 - Clostridiaceae
Providencia - Enterobacteriaceae
Sporacetigenium - Clostridiaceae
Clostridiales.1 - Clostridiaceae
Nosocomiicoccus - Ruminococcaceae
L.plantarum.L.coleohominis.L.mucosae - Lactobacillaceae
Bacteroidales.2 - Bacteroidaceae
Alphaproteobacteria.3 - Rhizobiaceae
Coprococcus - Lachnospiraceae
Bacillales.1 - Bacillaceae
Alphaproteobacteria.5 - Rhizobiaceae
Eubacterium - Lachnospiraceae
Blastococcus - Geodermatophilaceae
Coprobacillus - Erysipelotrichaceae
Pseudomonas - Pseudomonadaceae
Rhizobiales.1 - Rhizobiaceae
Sutterella - Alcaligenaceae
Propionibacterium - Propionibacteriaceae
Anaerovorax - Carnobacteriaceae
Granulicatella - Carnobacteriaceae
Klebsiella - Enterobacteriaceae
Parabacteroides - Bacteroidaceae
Succinispira - Succinivibrionaceae
Globicatella - Carnobacteriaceae
Lachnospiraceae.7 - Lachnospiraceae
Alistipes - Rikenellaceae
Bacillus - Bacillaceae
Sphingomonas - Sphingomonadaceae
Turicibacter - Erysipelotrichaceae
Acinetobacter - Moraxellaceae
Hallella - Moraxellaceae
Proteobacteria.1 - Proteobacteria
Proteobacteria.5 - Proteobacteria
Cupriavidus - Burkholderiaceae
Delftia - Comamonadaceae
Burkholderia - Burkholderiaceae
Enterobacteriaceae.1 - Enterobacteriaceae
Micrococcus - Micrococcaceae
Acidovorax - Comamonadaceae
Gulosibacter - Erysipelotrichaceae
Propionibacteriaceae.1 - Propionibacteriaceae
Ruminococcaceae.7 - Ruminococcaceae
Aurantimonas - Aurantimonadaceae
Megamonas - Veillonellaceae
Veillonellaceae.1 - Veillonellaceae
Clostridiales.3 - Clostridiaceae
Variovorax - Comamonadaceae
Enhydrobacter - Alcaligenaceae
Weissella - Leuconostocaceae
Lactobacillales.1 - Lactobacillaceae
Zimmermannella - Oxalobacteraceae
Lachnospiraceae.4 - Lachnospiraceae
Coriobacteriaceae.2 - Coriobacteriaceae
Bacteroidales.1 - Bacteroidaceae
Cloacibacterium - Cloacibacteriaceae
Methylobacterium - Methylobacteriaceae
Archaea.7 - Archaea
Ruminococcaceae.4 - Ruminococcaceae
Lachnospiraceae.8 - Lachnospiraceae
Firmicutes.1 - Firmicutes
Janibacter - Intrasporangiaceae
Barnesiella - Porphyromonadaceae
Rothia - Micrococcaceae
Actinomycetales.1 - Actinomycetaceae
Neisseria - Neisseriaceae
Betaproteobacteria.1 - Burkholderiaceae
Desulfovibrio - Desulfovibrionaceae
Bacteroidetes.2 - Bacteroidaceae
Firmicutes.2 - Firmicutes
Lachnospiraceae.6 - Lachnospiraceae
Peptostreptococcaceae.1 - Peptostreptococcaceae
Mesorhizobium - Phyllobacteriaceae
Brachybacterium - Dermabacteraceae
Bacteria.15 - Unclassified.Bacteria
Clostridiales.11 - Clostridiaceae
Clostridiales.17 - Clostridiaceae
Desulfocurvus - Desulfobacteraceae
Eremococcus - Aerococcaceae
Neisseriaceae.1 - Neisseriaceae
Phyllobacterium - Phyllobacteriaceae
Alcaligenes - Alcaligenaceae
Stenotrophomonas - Xanthomonadaceae
Clostridiales.8 - Clostridiaceae
Bacteria.11 - Unclassified.Bacteria
Acidaminococcus - Acidaminococcaceae
Akkermansia - Akkermansiaceae
Lachnospiraceae.1 - Lachnospiraceae
Pediococcus - Lactobacillaceae
Bacteria.17 - Unclassified.Bacteria
Clostridiales.10 - Clostridiaceae
Clostridia.1 - Clostridiaceae
Paraprevotella - Prevotellaceae
Bacteria.8 - Unclassified.Bacteria
Bradyrhizobium - Bradyrhizobiaceae
Lactococcus - Streptococcaceae
Mogibacterium - Mogibacteriaceae
Novosphingobium - Sphingomonadaceae
Clostridiales.4 - Clostridiaceae
Clostridiales.15 - Clostridiaceae
Ruminococcaceae.6 - Ruminococcaceae
Alphaproteobacteria.4 - Rhizobiaceae
Leptotrichia - Leptotrichiaceae
Odoribacter - Porphyromonadaceae
Phascolarctobacterium - Veillonellaceae
Bacteria.3 - Unclassified.Bacteria
Pseudoramibacter - Coriobacteriaceae
Streptophyta - Unclassified
Lactobacillales.3 - Lactobacillaceae
Skermanella - Oxalobacteraceae
Diaphorobacter - Moraxellaceae
Jonquetella - Oxalobacteraceae
Leuconostoc - Leuconostocaceae
Streptosporangiaceae.1 - Streptosporangiaceae
Parasutterella - Alcaligenaceae
Proteus - Enterobacteriaceae
Porphyromonadaceae.2 - Porphyromonadaceae
Fusibacter - Fusobacteriaceae
Hymenobacter - Cytophagaceae
Kocuria - Micrococcaceae
TM7_genera_incertae_sedis - Unclassified
Aquabacterium - Burkholderiaceae
Bacteria.12 - Unclassified.Bacteria
Bacillaceae.2 - Bacillaceae
Luteimonas - Xanthomonadaceae
Ochrobactrum - Brucellaceae
Slackia - Bifidobacteriaceae
Firmicutes.3 - Firmicutes
Comamonas - Comamonadaceae
Archaea.5 - Archaea
Morganella - Enterobacteriaceae
Thermus - Thermaceae
Bacteria.7 - Unclassified.Bacteria
Clostridiales.5 - Clostridiaceae
Bacillariophyta - Unclassified
Clostridiales.2 - Clostridiaceae
Alphaproteobacteria.6 - Rhizobiaceae
Archaea.6 - Archaea
Allofustis - Carnobacteriaceae
Brevundimonas - Oxalobacteraceae
Butyricimonas - Porphyromonadaceae
Bacteria.14 - Unclassified.Bacteria
Janthinobacterium - Oxalobacteraceae
Archaea.2 - Archaea
Porphyromonadaceae.1 - Porphyromonadaceae
Paracoccus - Rhodobacteraceae
Lachnospiraceae.3 - Lachnospiraceae
Pelomonas - Comamonadaceae
Pyramidobacter - Rikenellaceae
Bacteria.18 - Unclassified.Bacteria
Clostridiales.7 - Clostridiaceae
Bacteria.2 - Unclassified.Bacteria
Thermaerobacter - Thermaerobacteraceae
Aeromonas - Aeromonadaceae
Aggregatibacter - Pasteurellaceae
Lachnospiraceae.5 - Lachnospiraceae
Clostridiales.14 - Clostridiaceae
Bacteria.22 - Unclassified.Bacteria
Frigoribacterium - Clostridiaceae
Holdemania - Erysipelotrichaceae
Bacteria.9 - Unclassified.Bacteria
Clostridiales.9 - Clostridiaceae
Nocardioides - Nocardioidaceae
Bacteria.16 - Unclassified.Bacteria
Enterobacteriaceae.2 - Enterobacteriaceae
Proteobacteria.4 - Proteobacteria
Sphingobium - Sphingomonadaceae
Leptotrichiaceae.1 - Leptotrichiaceae
Archaea.3 - Archaea
Bacteria.23 - Unclassified.Bacteria
Atopobacter - Veillonellaceae
Rhizobiales.2 - Rhizobiaceae
Lachnospiraceae.9 - Lachnospiraceae
Alphaproteobacteria.2 - Rhizobiaceae
Chryseobacterium - Flavobacteriaceae
Bacteria.5 - Unclassified.Bacteria
Bacteria.6 - Unclassified.Bacteria
Flavobacteriaceae.1 - Flavobacteriaceae
Gp16 - Unclassified
Alphaproteobacteria.1 - Rhizobiaceae
Archaea.1 - Archaea
Methylibium - Methylibiaceae
Nitrobacter - Nitrobacteraceae
Bacteria.4 - Unclassified.Bacteria
Clostridiales.13 - Clostridiaceae
Alcaligenaceae.1 - Alcaligenaceae
Rhizobium - Rhizobiaceae
Rhodobacter - Rhodobacteraceae
Schlegelella - Neisseriaceae
Selenomonas - Veillonellaceae
Neisseriaceae.2 - Neisseriaceae
Wautersiella - Enterobacteriaceae
Xanthomonas - Xanthomonadaceae
Arcobacter - Campylobacteraceae
Archaea.4 - Archaea
Myceligenerans - Promicromonosporaceae
Mycobacterium - Mycobacteriaceae
Nocardiopsis - Nocardiopsaceae
Psychrobacter - Moraxellaceae
Achromobacter - Alcaligenaceae
Bifidobacteriaceae.1 - Bifidobacteriaceae
Bacteria.10 - Unclassified.Bacteria
Anaerobacter - Ruminococcaceae
Atopostipes - Lachnospiraceae
Bacteria.19 - Unclassified.Bacteria
Bacillaceae.1 - Bacillaceae
Curtobacterium - Microbacteriaceae
Dechloromonas - Comamonadaceae
Deinococcus - Deinococcaceae
Bacteria.20 - Unclassified.Bacteria
Dolosigranulum - Carnobacteriaceae
Dyadobacter - Cytophagaceae
Georgenia - Microbacteriaceae
Gp3 - Unclassified
Helicobacter - Helicobacteraceae
Bacteria.21 - Unclassified.Bacteria
Rhizobiales.3 - Rhizobiaceae
Bacteria.13 - Unclassified.Bacteria
Paenibacillus - Paenibacillaceae
Bifidobacteriaceae.2 - Bifidobacteriaceae
Phycicoccus - Staphylococcaceae
Porphyrobacter - Porphyrobacteraceae
Clostridiales.16 - Clostridiaceae
Bacteria.1 - Unclassified.Bacteria
Sphingomonadaceae.1 - Sphingomonadaceae
Streptomycetaceae.1 - Streptomycetaceae
Archaea.8 - Archaea
Burkholderiales.1 - Burkholderiaceae
Gammaproteobacteria.1 - Unclassified
Truepera - Trueperaceae
Yersinia - Enterobacteriaceae





